Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,250,940
2,919,941
3,176,942
4,828,943
5,546,944
6,1017,964
7,105,967
8,454,969
9,133,971
10,979,972
11,35,974
12,778,975
13,819,1006
14,868,1008
15,112,1015
16,413,1016
