SNR,Throught
-4, 0.0678333
-3.75, 0.1705
-3.5, 0.282333
-3.25, 0.339167
-3, 0.361167
-2.75, 0.365137
-2.5, 0.36697
-2.25, 0.367881
-2, 0.367274
-1.75, 0.368792
-1.5, 0.370461
-1.25, 0.371068
-1, 0.372283
-0.75, 0.37456
-0.5, 0.378202
-0.25, 0.380327
0, 0.386162
0.25, 0.407026
0.5, 0.444062
0.75, 0.532416
1, 0.626276
1.25, 0.67696
1.5, 0.710001
1.75, 0.726674
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
