SNR,Throught
-4, 0
-3.75, 0
-3.5, 0.00183333
-3.25, 0.0403333
-3, 0.0806667
-2.75, 0.210833
-2.5, 0.282333
-2.25, 0.352152
-2, 0.36697
-1.75, 0.367729
-1.5, 0.369247
-1.25, 0.369854
-1, 0.370006
-0.75, 0.37289
-0.5, 0.376077
-0.25, 0.378051
0, 0.380327
0.25, 0.382301
0.5, 0.386357
0.75, 0.39638
1, 0.418844
1.25, 0.45449
1.5, 0.541774
1.75, 0.626788
2, 0.704369
2.25, 0.723094
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
