SNR,Throught
-6, 0
-5.5, 0.00333333
-5, 0.0643496
-4.5, 0.260061
-4, 0.332181
-3.5, 0.340746
-3, 0.346142
-2.5, 0.348885
-2, 0.353501
-1.5, 0.357433
-1, 0.359729
-0.5, 0.360933
0, 0.361668
0.5, 0.361862
1, 0.361862
1.5, 0.361905
2, 0.361905
2.5, 0.361905
3, 0.361905
