SNR,Throught
-7, 0
-6.5, 0
-6, 0.00739683
-5.5, 0.0688889
-5, 0.213537
-4.5, 0.249281
-4, 0.266598
-3.5, 0.318703
-3, 0.34277
-2.5, 0.339754
-2, 0.36163
-1.5, 0.366922
-1, 0.370631
-0.5, 0.374319
0, 0.383382
0.5, 0.420118
1, 0.640166
1.5, 0.733333
2, 0.733333
