Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1101,1740
2,165,1741
3,483,1750
4,699,1751
5,1557,1752
6,84,1756
7,135,1761
8,365,1795
9,1237,1818
10,1394,1884
11,1233,1886
12,876,1891
13,1050,1892
14,596,1897
15,1419,1898
16,401,1900
