Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1241,1455
2,1050,1462
3,1381,1486
4,1008,1489
5,1893,1497
6,453,1515
7,248,1516
8,256,1532
9,172,1565
10,792,1631
11,874,1699
12,722,1708
13,1463,1739
14,1207,1833
15,1479,1838
