Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.802632, 0.503571, 0.503571, 0.503571, 0.503571, 0.503571, 0.503571, 0.503571, 0.502632, 0.500752, 0.499436, 0.49906, 0.495113, 0.48891, 0.482143, 0.478383, 0.474624, 0.471429, 0.470113, 0.468985, 0.465977, 0.464286, 0.458835, 0.457519, 0.455639, 0.453947, 0.45282, 0.453759, 0.452256, 0.449624, 0.449436, 0.448872, 0.447932, 0.44812, 0.446617, 0.446053, 0.446241, 0.446429, 0.445677, 0.445301, 0.445489, 0.445301, 0.445301, 0.445489, 0.445301, 0.444361, 0.444173, 0.442481, 0.442105, 0.441917, 0.441729, 0.440602, 0.440414, 0.440226, 0.440602, 0.439662, 0.43985, 0.43891, 0.439474, 0.439098, 0.438534, 0.438534, 0.438722, 0.43797, 0.437782, 0.437782, 0.437782, 0.437782, 0.437782, 0.437782, 0.437782, 0.437782, 0.436654, 0.43703, 0.43703, 0.43703, 0.43703, 0.436278, 0.435714, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.435526, 0.434586, 0.434586, 0.300188, 0.289098, 0.291729, 0.290602, 0.290414, 0.292481, 0.290977, 0.292481, 0.292857, 0.292481, 0.290977, 0.292669, 0.291541, 0.291917, 0.291165, 0.291353, 0.290226, 0.290602, 0.291165, 0.291917, 0.292293, 0.291729, 0.292105, 0.291729, 0.292857, 0.291541, 0.291165, 0.291729, 0.291917, 0.292857, 0.290414, 0.291541, 0.291917, 0.292669, 0.291541, 0.291165, 0.290977, 0.291729, 0.291541, 0.293985, 0.292105, 0.291541, 0.290977, 0.291165, 0.28985, 0.289474, 0.289662, 0.288346, 0.28891, 0.290789, 0.290789, 0.292105, 0.291165, 0.293421, 0.291917, 0.290977, 0.292481, 0.292669, 0.291353, 0.292293, 0.289286, 0.291917, 0.291917, 0.291353, 0.291917, 0.292481, 0.292105, 0.290602, 0.291165, 0.291729, 0.292293, 0.292293, 0.291541, 0.291917, 0.290789, 0.292105, 0.291165, 0.292293, 0.292481, 0.292293, 0.290977, 0.292481, 0.292669, 0.293233, 0.291917, 0.293233, 0.292293, 0.292669, 0.290414, 0.28985, 0.28891, 0.289662, 0.28985, 0.291353, 0.28985, 0.290789, 0.292293, 0.291917, 0.291165, 0.291917, 
1.25, 0.625287, 0.494943, 0.494943, 0.494943, 0.494943, 0.494943, 0.494943, 0.494253, 0.492644, 0.489425, 0.481839, 0.475287, 0.464253, 0.452529, 0.442414, 0.427586, 0.417586, 0.411494, 0.401954, 0.396897, 0.388161, 0.383218, 0.377701, 0.374138, 0.371149, 0.370115, 0.365632, 0.361379, 0.358506, 0.356092, 0.352759, 0.35069, 0.35, 0.34954, 0.347701, 0.345632, 0.344138, 0.343333, 0.341494, 0.340115, 0.338966, 0.338506, 0.338391, 0.337586, 0.337356, 0.337356, 0.336897, 0.336092, 0.335517, 0.335862, 0.335517, 0.336207, 0.335862, 0.335172, 0.333908, 0.333793, 0.332759, 0.332414, 0.332529, 0.332644, 0.332414, 0.332184, 0.331839, 0.332184, 0.331954, 0.332184, 0.331954, 0.331724, 0.33092, 0.331034, 0.33069, 0.330345, 0.33, 0.33, 0.33023, 0.330115, 0.33, 0.330115, 0.32954, 0.32954, 0.329425, 0.32954, 0.32954, 0.329655, 0.329655, 0.329655, 0.32954, 0.329655, 0.32908, 0.32908, 0.32931, 0.32931, 0.328966, 0.32908, 0.32908, 0.328966, 0.328736, 0.328736, 0.328621, 0.328621, 0.328736, 0.234138, 0.225747, 0.224943, 0.221149, 0.221839, 0.222184, 0.220575, 0.222874, 0.222069, 0.222069, 0.220115, 0.22046, 0.221149, 0.221494, 0.221494, 0.221954, 0.221034, 0.22, 0.220345, 0.220345, 0.220575, 0.221954, 0.221494, 0.22, 0.221724, 0.221954, 0.221379, 0.221954, 0.222529, 0.221954, 0.221724, 0.22092, 0.222184, 0.221839, 0.221264, 0.22069, 0.22046, 0.221724, 0.221379, 0.22046, 0.22069, 0.220115, 0.22023, 0.219655, 0.221839, 0.220805, 0.222414, 0.221954, 0.222069, 0.223678, 0.223448, 0.221724, 0.223103, 0.222644, 0.221954, 0.221724, 0.222989, 0.221494, 0.222299, 0.222069, 0.221954, 0.221494, 0.222529, 0.22092, 0.221954, 0.222069, 0.223333, 0.221954, 0.221724, 0.222874, 0.222989, 0.221609, 0.221034, 0.220575, 0.221609, 0.221149, 0.221379, 0.221724, 0.221609, 0.221494, 0.221839, 0.220575, 0.221839, 0.221034, 0.223563, 0.222529, 0.221609, 0.222184, 0.222184, 0.22092, 0.221609, 0.22046, 0.220345, 0.221494, 0.223563, 0.222644, 0.222299, 0.223103, 0.224483, 0.221494, 
1.5, 0.535363, 0.503389, 0.503389, 0.503389, 0.503389, 0.503389, 0.502898, 0.500835, 0.492191, 0.477161, 0.456385, 0.428978, 0.408448, 0.383251, 0.362279, 0.345923, 0.330206, 0.317485, 0.30776, 0.30167, 0.295334, 0.288752, 0.283841, 0.280943, 0.276424, 0.273772, 0.270874, 0.266847, 0.264391, 0.263261, 0.261837, 0.259921, 0.25776, 0.257711, 0.25609, 0.255206, 0.25442, 0.254273, 0.25334, 0.251916, 0.250884, 0.250884, 0.249902, 0.249067, 0.248183, 0.247151, 0.246562, 0.246513, 0.246022, 0.24612, 0.244941, 0.244646, 0.244401, 0.244352, 0.244057, 0.243664, 0.243468, 0.243566, 0.243418, 0.243615, 0.24332, 0.243369, 0.243124, 0.242976, 0.242633, 0.242829, 0.242436, 0.242583, 0.24224, 0.24224, 0.242043, 0.242387, 0.24224, 0.242436, 0.242141, 0.241749, 0.241798, 0.241896, 0.241749, 0.241896, 0.241552, 0.241552, 0.241405, 0.241257, 0.241208, 0.241257, 0.24111, 0.241208, 0.241012, 0.241257, 0.241012, 0.241159, 0.240815, 0.241012, 0.240766, 0.241012, 0.240472, 0.240717, 0.240275, 0.240521, 0.240324, 0.194106, 0.191945, 0.191847, 0.191896, 0.190324, 0.191356, 0.190717, 0.191454, 0.191306, 0.190963, 0.19057, 0.190668, 0.192092, 0.191552, 0.191405, 0.19165, 0.19165, 0.191601, 0.192043, 0.190963, 0.191405, 0.191257, 0.19224, 0.19165, 0.191405, 0.190864, 0.191601, 0.190422, 0.191208, 0.190619, 0.190815, 0.190373, 0.19111, 0.191159, 0.190717, 0.190472, 0.190422, 0.191847, 0.191356, 0.190815, 0.191405, 0.192043, 0.191012, 0.191306, 0.191503, 0.191896, 0.192141, 0.191257, 0.191012, 0.192092, 0.191749, 0.191012, 0.191405, 0.191208, 0.191454, 0.190766, 0.191257, 0.191503, 0.190864, 0.190815, 0.18998, 0.190717, 0.190717, 0.190275, 0.191061, 0.190864, 0.190275, 0.190275, 0.190766, 0.191159, 0.18998, 0.190717, 0.190422, 0.190177, 0.190619, 0.190521, 0.19165, 0.191405, 0.191356, 0.191945, 0.19224, 0.190373, 0.190963, 0.190864, 0.190521, 0.190914, 0.190766, 0.190864, 0.190619, 0.190472, 0.19057, 0.190619, 0.190521, 0.189931, 0.190963, 0.190079, 0.190373, 0.190472, 0.190815, 0.190373, 
1.75, 0.44686, 0.501454, 0.501454, 0.501454, 0.501454, 0.501406, 0.49813, 0.484801, 0.457999, 0.419242, 0.377657, 0.341378, 0.311731, 0.285888, 0.267828, 0.252309, 0.240786, 0.232907, 0.223254, 0.218124, 0.212306, 0.208806, 0.204875, 0.202381, 0.20016, 0.198929, 0.197299, 0.196116, 0.193943, 0.193208, 0.191641, 0.191306, 0.190283, 0.189532, 0.188733, 0.187854, 0.187134, 0.186831, 0.186144, 0.18544, 0.184977, 0.184833, 0.184322, 0.184098, 0.183778, 0.18357, 0.182963, 0.182915, 0.182723, 0.182723, 0.182036, 0.182196, 0.181653, 0.181653, 0.181109, 0.181317, 0.180486, 0.180885, 0.18015, 0.180502, 0.179511, 0.179831, 0.179047, 0.179447, 0.178952, 0.179399, 0.178984, 0.179303, 0.178792, 0.179175, 0.178616, 0.179016, 0.178488, 0.178744, 0.17828, 0.178536, 0.178152, 0.17852, 0.177977, 0.178296, 0.177881, 0.177993, 0.177529, 0.177913, 0.177433, 0.177897, 0.177417, 0.177769, 0.177226, 0.177753, 0.177082, 0.177593, 0.17705, 0.177545, 0.176922, 0.177321, 0.176538, 0.176938, 0.176315, 0.176826, 0.176346, 0.161483, 0.159693, 0.1603, 0.159661, 0.159965, 0.159565, 0.159645, 0.159214, 0.159725, 0.159773, 0.159981, 0.159789, 0.160332, 0.159437, 0.160189, 0.159421, 0.159933, 0.159342, 0.160109, 0.159533, 0.159645, 0.159421, 0.160061, 0.159517, 0.160157, 0.159389, 0.159997, 0.159374, 0.159645, 0.159326, 0.159421, 0.159613, 0.159821, 0.159453, 0.159757, 0.159629, 0.159853, 0.159086, 0.159853, 0.159006, 0.159342, 0.159198, 0.159661, 0.159501, 0.159997, 0.159517, 0.160077, 0.159693, 0.159837, 0.15931, 0.159485, 0.159342, 0.159629, 0.159118, 0.159581, 0.15907, 0.159741, 0.159326, 0.159901, 0.159453, 0.160189, 0.159549, 0.159901, 0.159342, 0.160125, 0.159629, 0.159869, 0.159453, 0.159725, 0.159038, 0.159677, 0.159326, 0.159581, 0.159086, 0.159565, 0.15931, 0.160157, 0.159326, 0.159869, 0.159389, 0.160141, 0.159278, 0.159549, 0.159437, 0.159741, 0.159581, 0.159853, 0.159437, 0.159437, 0.15923, 0.159453, 0.158974, 0.159501, 0.159038, 0.159805, 0.159086, 0.159565, 0.159246, 0.159501, 0.159262, 
2, 0.402689, 0.501372, 0.501372, 0.501372, 0.501372, 0.500462, 0.488988, 0.451324, 0.394837, 0.337264, 0.288764, 0.252295, 0.225982, 0.208196, 0.195164, 0.186029, 0.179544, 0.174685, 0.170404, 0.167807, 0.165576, 0.16353, 0.162008, 0.160664, 0.159731, 0.158656, 0.158051, 0.157196, 0.156629, 0.155963, 0.15547, 0.154961, 0.154834, 0.154248, 0.154009, 0.153528, 0.153466, 0.153073, 0.153019, 0.152661, 0.152645, 0.152183, 0.152295, 0.151821, 0.151925, 0.15157, 0.151555, 0.151285, 0.151273, 0.150977, 0.1511, 0.150811, 0.150842, 0.150588, 0.150591, 0.150414, 0.150553, 0.15036, 0.150484, 0.150291, 0.150395, 0.150141, 0.15021, 0.15011, 0.150233, 0.150052, 0.150164, 0.149952, 0.150021, 0.14989, 0.150013, 0.149802, 0.14994, 0.149771, 0.149871, 0.149705, 0.149844, 0.149694, 0.149817, 0.14964, 0.149736, 0.149547, 0.149717, 0.149543, 0.149713, 0.149474, 0.149686, 0.149482, 0.149601, 0.149424, 0.149563, 0.149378, 0.149536, 0.149335, 0.149455, 0.149297, 0.149432, 0.149293, 0.149439, 0.149239, 0.149416, 0.145128, 0.144924, 0.144785, 0.144839, 0.144677, 0.144866, 0.144781, 0.144766, 0.144646, 0.14492, 0.144677, 0.144877, 0.144758, 0.144819, 0.144677, 0.144735, 0.144704, 0.144658, 0.144504, 0.144715, 0.144565, 0.144777, 0.144596, 0.14475, 0.144727, 0.14475, 0.144673, 0.144835, 0.144561, 0.144604, 0.144608, 0.144654, 0.144557, 0.144727, 0.144677, 0.144773, 0.144477, 0.144708, 0.144477, 0.144646, 0.144581, 0.144719, 0.1446, 0.14465, 0.144565, 0.144692, 0.144557, 0.144654, 0.144565, 0.144692, 0.144554, 0.144688, 0.144546, 0.144642, 0.1445, 0.144769, 0.144527, 0.144631, 0.144511, 0.144623, 0.144507, 0.144619, 0.14455, 0.144573, 0.144511, 0.144581, 0.14443, 0.144638, 0.144465, 0.14455, 0.144442, 0.144584, 0.144496, 0.144588, 0.144496, 0.144654, 0.14453, 0.144592, 0.144542, 0.144685, 0.144573, 0.144646, 0.144577, 0.144654, 0.144608, 0.144681, 0.14465, 0.144561, 0.144554, 0.144627, 0.144469, 0.144615, 0.144542, 0.144677, 0.144434, 0.144685, 0.144623, 0.144573, 0.144523, 0.144534, 
2.25, 0.364749, 0.500441, 0.500441, 0.500441, 0.500293, 0.493975, 0.45651, 0.381642, 0.30197, 0.241244, 0.202716, 0.178371, 0.16297, 0.153587, 0.147407, 0.143604, 0.140814, 0.139071, 0.13762, 0.136633, 0.135748, 0.135288, 0.134732, 0.134424, 0.134076, 0.133897, 0.13357, 0.133495, 0.133204, 0.133116, 0.132876, 0.132844, 0.132682, 0.132592, 0.132431, 0.132386, 0.132248, 0.132221, 0.132115, 0.132094, 0.131973, 0.13198, 0.131892, 0.131933, 0.131814, 0.131835, 0.13174, 0.131764, 0.131697, 0.131698, 0.131659, 0.131662, 0.13158, 0.131592, 0.131556, 0.131576, 0.131525, 0.131559, 0.131504, 0.131539, 0.131474, 0.131518, 0.131451, 0.131498, 0.131433, 0.13148, 0.131418, 0.131455, 0.13139, 0.131438, 0.131376, 0.131432, 0.131367, 0.131406, 0.131355, 0.131411, 0.131356, 0.131388, 0.131336, 0.131381, 0.131326, 0.131365, 0.131311, 0.131343, 0.131297, 0.13133, 0.131289, 0.131329, 0.131289, 0.131313, 0.131269, 0.131305, 0.131264, 0.131302, 0.131272, 0.131279, 0.131245, 0.131267, 0.131227, 0.131266, 0.131217, 0.130678, 0.130595, 0.13062, 0.130596, 0.130616, 0.130567, 0.130625, 0.130558, 0.130595, 0.130542, 0.130596, 0.130565, 0.130611, 0.130547, 0.130591, 0.130559, 0.130611, 0.130556, 0.130595, 0.130541, 0.130598, 0.130543, 0.130595, 0.130537, 0.130572, 0.13055, 0.130599, 0.130552, 0.130579, 0.130543, 0.130582, 0.130543, 0.13058, 0.130549, 0.130587, 0.13055, 0.13058, 0.130543, 0.130577, 0.130526, 0.130589, 0.130556, 0.130591, 0.130551, 0.130589, 0.130542, 0.130586, 0.130553, 0.130579, 0.130528, 0.130577, 0.130552, 0.130576, 0.130544, 0.130561, 0.130546, 0.13056, 0.130534, 0.130586, 0.130544, 0.130587, 0.130557, 0.130569, 0.130561, 0.130582, 0.130549, 0.130554, 0.130536, 0.130587, 0.130552, 0.130583, 0.130546, 0.130583, 0.130556, 0.13057, 0.130538, 0.130592, 0.130552, 0.130574, 0.13055, 0.130591, 0.130536, 0.130577, 0.13054, 0.130577, 0.130515, 0.130565, 0.130526, 0.130564, 0.130538, 0.130564, 0.130529, 0.13059, 0.13053, 0.130576, 0.130542, 0.130579, 0.130545, 0.130596, 0.130532, 
2.5, 0.335277, 0.499958, 0.499958, 0.499958, 0.49911, 0.476645, 0.394093, 0.288996, 0.2125, 0.169889, 0.147861, 0.136267, 0.129934, 0.126417, 0.124356, 0.123197, 0.122454, 0.121908, 0.121498, 0.12123, 0.121012, 0.120901, 0.120767, 0.120681, 0.120574, 0.120504, 0.120431, 0.120392, 0.120337, 0.120304, 0.120256, 0.120228, 0.120189, 0.120183, 0.120149, 0.120138, 0.120104, 0.120096, 0.120069, 0.12007, 0.120046, 0.12004, 0.120017, 0.120013, 0.119997, 0.119997, 0.119979, 0.11998, 0.119964, 0.119968, 0.11996, 0.119965, 0.119952, 0.119952, 0.119936, 0.119942, 0.119931, 0.119938, 0.119924, 0.119925, 0.119915, 0.119918, 0.11991, 0.119917, 0.119904, 0.11991, 0.119897, 0.119906, 0.119895, 0.119904, 0.119891, 0.119896, 0.119885, 0.119897, 0.11988, 0.119894, 0.119877, 0.119892, 0.119874, 0.119891, 0.119872, 0.119888, 0.119871, 0.119878, 0.119868, 0.119879, 0.119869, 0.11988, 0.119867, 0.119876, 0.119862, 0.119875, 0.119861, 0.119867, 0.11986, 0.119871, 0.119861, 0.119868, 0.119856, 0.119867, 0.119854, 0.119791, 0.119771, 0.119784, 0.119769, 0.119781, 0.119763, 0.119781, 0.119768, 0.119782, 0.119769, 0.119782, 0.119771, 0.119778, 0.119768, 0.119777, 0.119769, 0.11978, 0.119766, 0.119781, 0.119769, 0.119781, 0.119763, 0.119778, 0.119761, 0.119776, 0.119763, 0.119779, 0.119764, 0.119778, 0.119759, 0.119776, 0.119761, 0.119776, 0.119761, 0.119772, 0.119761, 0.119777, 0.119761, 0.119771, 0.119761, 0.119772, 0.119761, 0.119775, 0.119761, 0.119777, 0.11976, 0.119773, 0.119759, 0.119774, 0.119762, 0.119773, 0.119758, 0.119772, 0.119758, 0.119769, 0.11976, 0.119771, 0.119759, 0.119774, 0.119758, 0.119775, 0.11976, 0.119771, 0.119762, 0.119772, 0.11976, 0.119775, 0.11976, 0.119771, 0.119763, 0.119776, 0.119762, 0.119773, 0.119757, 0.119772, 0.119753, 0.119775, 0.119758, 0.119771, 0.119761, 0.119771, 0.119758, 0.119773, 0.119759, 0.11977, 0.11976, 0.119771, 0.119757, 0.119774, 0.119757, 0.119773, 0.11976, 0.119773, 0.119759, 0.119774, 0.119756, 0.119774, 0.119756, 0.119772, 0.119755, 
