Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1,159
2,725,160
3,530,161
4,809,167
5,460,168
6,421,169
7,676,170
8,206,171
9,434,172
10,750,173
11,498,177
12,707,178
13,625,182
14,508,187
15,220,188
16,572,190
17,73,195
18,538,196
19,569,197
20,619,201
21,742,208
22,803,211
23,648,212
24,495,214
25,768,216
26,493,221
27,18,222
28,102,226
29,720,228
30,416,230
31,703,231
32,189,234
33,474,235
34,537,238
35,32,240
36,526,241
37,308,242
38,43,243
39,419,246
40,176,252
41,105,253
42,191,255
43,128,264
44,175,265
45,39,270
46,548,278
47,260,289
48,466,293
49,601,296
50,432,297
51,463,303
52,378,305
53,106,306
54,424,307
55,718,309
56,733,310
57,249,315
58,194,318
59,491,320
60,556,323
61,353,325
62,192,328
63,783,329
