Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.840336, 0.131237, 0.126444, 0.124934, 0.122374, 0.120536, 0.119288, 0.119617, 0.118107, 0.117516, 0.116465, 0.117319, 0.115546, 0.117056, 0.116465, 0.116465, 0.115481, 0.116925, 0.115743, 0.115612, 0.115481, 0.11594, 0.114955, 0.116203, 0.115349, 0.115612, 0.115743, 0.115481, 0.115218, 0.116728, 0.115612, 0.117581, 0.115612, 0.116203, 0.1164, 0.117056, 0.115678, 0.116465, 0.115087, 0.116597, 0.115087, 0.115546, 0.114627, 0.115218, 0.11594, 0.115612, 0.11489, 0.116203, 0.11489, 0.115415, 0.115349, 0.11594, 0.113774, 0.115546, 0.114693, 0.115874, 0.114364, 0.114693, 0.113183, 0.115284, 0.115349, 0.115152, 0.115546, 0.115284, 0.113971, 0.115481, 0.114299, 0.114693, 0.113774, 0.115349, 0.114036, 0.115152, 0.113905, 0.114299, 0.113511, 0.113839, 0.113774, 0.115087, 0.114102, 0.115415, 0.113971, 0.114561, 0.112986, 0.115152, 0.113905, 0.114233, 0.113708, 0.115021, 0.11443, 0.115678, 0.114036, 0.114102, 0.113117, 0.114496, 0.113642, 0.115218, 0.114036, 0.114955, 0.113971, 0.11443, 0.112986, 0.114758, 0.113642, 0.115087, 0.114233, 0.115218, 0.113971, 0.114299, 0.11338, 0.114561, 0.114233, 0.115087, 0.113183, 0.113511, 0.113839, 0.114233, 0.114036, 0.115415, 0.113905, 0.114364, 0.114102, 0.115087, 0.114102, 0.113511, 0.113248, 0.115152, 0.114364, 0.114036, 0.113774, 0.113839, 0.112395, 0.114627, 0.114233, 0.116071, 0.11338, 0.113971, 0.11443, 0.114758, 0.113314, 0.114364, 0.114168, 0.11443, 0.113117, 0.11489, 0.114168, 0.114102, 0.113971, 0.114627, 0.113642, 0.115152, 0.114299, 0.115152, 0.113577, 0.115021, 0.11338, 0.115021, 0.114102, 0.114168, 0.112789, 0.114561, 0.11443, 0.115612, 0.113971, 0.115152, 0.113971, 0.114561, 0.113774, 0.11489, 0.114299, 0.11489, 0.113839, 0.114299, 0.112723, 0.114496, 0.114036, 0.114693, 0.114036, 0.114955, 0.113314, 0.114561, 0.114364, 0.115415, 0.114299, 0.114693, 0.113774, 0.114168, 0.112986, 0.114693, 0.113905, 0.114758, 0.114299, 0.115481, 0.114693, 0.114496, 0.113445, 0.11443, 0.113774, 0.114955, 0.113971, 0.115349, 0.113905, 
1.25, 0.77821, 0.116914, 0.112172, 0.108402, 0.105727, 0.102748, 0.100559, 0.0998298, 0.098553, 0.0977626, 0.0967291, 0.0967899, 0.0969115, 0.0963035, 0.0954523, 0.0956955, 0.0959995, 0.0960603, 0.0959387, 0.0966075, 0.0959995, 0.0956955, 0.094966, 0.0948444, 0.0946012, 0.0950875, 0.0955739, 0.0949052, 0.0948444, 0.0950268, 0.0944188, 0.0938108, 0.0938716, 0.0944188, 0.0941756, 0.094054, 0.09375, 0.0939932, 0.094054, 0.0944796, 0.0935068, 0.0933244, 0.0936892, 0.094966, 0.0952699, 0.094054, 0.0935676, 0.093446, 0.094358, 0.094966, 0.094054, 0.0941148, 0.0946012, 0.0938108, 0.09375, 0.0935676, 0.0944188, 0.0939324, 0.0941148, 0.0935068, 0.0930204, 0.0939324, 0.093446, 0.093142, 0.0936892, 0.0932028, 0.0935068, 0.0944188, 0.0941148, 0.0938108, 0.092838, 0.0942972, 0.0942364, 0.0933244, 0.0929596, 0.0942364, 0.0932636, 0.0936284, 0.0942364, 0.0941756, 0.09375, 0.0941148, 0.092838, 0.0930204, 0.0950268, 0.0941756, 0.0941148, 0.0936284, 0.0936892, 0.0933852, 0.0932636, 0.0939324, 0.0939932, 0.09375, 0.0922909, 0.0935068, 0.0945404, 0.0952091, 0.0936284, 0.0929596, 0.0932636, 0.0939932, 0.0942972, 0.0930812, 0.094966, 0.094358, 0.0938108, 0.0929596, 0.0930812, 0.0941756, 0.094358, 0.0945404, 0.0932028, 0.0935676, 0.093142, 0.093446, 0.094662, 0.0944796, 0.0935676, 0.0933852, 0.0930812, 0.0936892, 0.0935068, 0.0941148, 0.0938108, 0.09375, 0.0932028, 0.0930812, 0.0935676, 0.0939324, 0.0936892, 0.0935676, 0.0930204, 0.0939932, 0.093446, 0.0932028, 0.0938108, 0.0932636, 0.0936892, 0.0936892, 0.0924125, 0.0929596, 0.0925948, 0.092838, 0.0929596, 0.0935068, 0.0927164, 0.0927772, 0.0927772, 0.0935676, 0.0938716, 0.0938108, 0.0927164, 0.0924125, 0.0925948, 0.0926556, 0.0936284, 0.092838, 0.092534, 0.0932636, 0.0926556, 0.0933244, 0.0930204, 0.0930204, 0.0930204, 0.0930204, 0.092534, 0.0921085, 0.0936284, 0.0929596, 0.0927164, 0.0930812, 0.0930812, 0.092838, 0.0932028, 0.0926556, 0.0935068, 0.0935068, 0.0932636, 0.0930204, 0.0918653, 0.0928988, 0.092838, 0.0928988, 0.0932028, 0.0932636, 0.0924125, 0.0935676, 0.0933244, 0.093446, 0.0921693, 0.0933852, 0.0926556, 0.0930204, 0.0936284, 0.0929596, 0.0930812, 0.092838, 0.0921693, 0.0935676, 0.0945404, 
1.5, 0.738007, 0.11393, 0.107299, 0.102341, 0.0978436, 0.0969788, 0.09375, 0.09375, 0.0912131, 0.0922509, 0.0909825, 0.091559, 0.0908672, 0.0917897, 0.0912131, 0.0905212, 0.0893681, 0.09006, 0.09006, 0.0910401, 0.0895987, 0.0900023, 0.0905789, 0.0903482, 0.0894257, 0.0887915, 0.0886762, 0.0896564, 0.0898293, 0.0897717, 0.0895411, 0.0887915, 0.0899446, 0.0889645, 0.0893681, 0.0889645, 0.0893681, 0.0890221, 0.0887915, 0.0893104, 0.0891951, 0.0883303, 0.0895987, 0.0883303, 0.0884456, 0.0882149, 0.0883879, 0.0893104, 0.0899446, 0.0888492, 0.0877537, 0.0874077, 0.0887339, 0.0892528, 0.0889645, 0.0897717, 0.0889068, 0.0879267, 0.0890221, 0.0881573, 0.0886762, 0.0884456, 0.0884456, 0.0880996, 0.0881573, 0.088042, 0.0885609, 0.0880996, 0.0887915, 0.0885032, 0.0879843, 0.0890798, 0.0881573, 0.0880996, 0.0883879, 0.0880996, 0.0887339, 0.0879843, 0.087696, 0.0890221, 0.0878113, 0.0867735, 0.0886762, 0.0886185, 0.0886762, 0.0874654, 0.0874654, 0.0870618, 0.0890798, 0.0875807, 0.0887915, 0.0871771, 0.0870618, 0.0866582, 0.0889068, 0.0882149, 0.0885032, 0.0885032, 0.0885609, 0.0874654, 0.0876384, 0.0873501, 0.0878113, 0.0878113, 0.087869, 0.0874077, 0.0877537, 0.087869, 0.0880996, 0.087696, 0.0872924, 0.0871771, 0.0882149, 0.0883303, 0.0875231, 0.0873501, 0.086024, 0.0880996, 0.0879843, 0.0887915, 0.0884456, 0.0874654, 0.086197, 0.0875231, 0.088042, 0.0875807, 0.0873501, 0.0879843, 0.0880996, 0.0878113, 0.0878113, 0.0880996, 0.087696, 0.0890221, 0.0869465, 0.0871195, 0.087696, 0.0881573, 0.0885032, 0.087696, 0.087696, 0.0874077, 0.0885032, 0.0879267, 0.0882726, 0.0872924, 0.0878113, 0.0874654, 0.0886185, 0.0869465, 0.0874077, 0.0873501, 0.0883303, 0.0875807, 0.088042, 0.087696, 0.0874654, 0.0882726, 0.0865429, 0.0864276, 0.0882726, 0.0875807, 0.088042, 0.0876384, 0.0874077, 0.0878113, 0.0885609, 0.0879267, 0.087869, 0.0874077, 0.0868888, 0.0875807, 0.0885032, 0.0879267, 0.087869, 0.0867735, 0.0877537, 0.0875231, 0.0885609, 0.0876384, 0.0881573, 0.088042, 0.0872924, 0.0871771, 0.0874654, 0.0881573, 0.0882726, 0.0874654, 0.0872924, 0.0877537, 0.0884456, 0.0878113, 0.0876384, 0.087869, 0.0879843, 0.0872924, 0.0875231, 0.0878113, 0.0874654, 0.0877537, 0.087696, 
1.75, 0.623053, 0.105286, 0.0976441, 0.0944801, 0.0894665, 0.0864486, 0.081581, 0.0827005, 0.0813376, 0.0807535, 0.0785144, 0.0789525, 0.078271, 0.0785144, 0.0766647, 0.07647, 0.0762266, 0.0765187, 0.0748637, 0.0757399, 0.076178, 0.0758859, 0.0751558, 0.0762266, 0.0758372, 0.0762753, 0.0753505, 0.0758372, 0.0744743, 0.0753505, 0.0738415, 0.0750584, 0.074669, 0.0743283, 0.07316, 0.0750584, 0.0747177, 0.0744743, 0.0744256, 0.0747664, 0.074815, 0.074815, 0.0733548, 0.0754965, 0.0749611, 0.0741822, 0.0738902, 0.0744256, 0.0738415, 0.0742309, 0.0741822, 0.0745717, 0.074523, 0.0750097, 0.0748637, 0.0743769, 0.0734521, 0.0739875, 0.0734521, 0.0748637, 0.0740849, 0.0744743, 0.0730627, 0.0739389, 0.0735495, 0.0732574, 0.0722839, 0.0739875, 0.0751558, 0.0738415, 0.0726246, 0.0740362, 0.0735008, 0.0738902, 0.0735008, 0.0747664, 0.0732087, 0.0737928, 0.0736468, 0.0738902, 0.0737442, 0.0734034, 0.0721379, 0.0739875, 0.0731114, 0.0738902, 0.0729167, 0.0737442, 0.0734034, 0.0735981, 0.0725759, 0.0733548, 0.0729167, 0.0739389, 0.0728193, 0.0729653, 0.0725759, 0.0735981, 0.0738415, 0.0739389, 0.0724786, 0.0729167, 0.072722, 0.0739389, 0.0733548, 0.072868, 0.0723326, 0.0739875, 0.072722, 0.0727706, 0.07316, 0.0742309, 0.0725273, 0.0732574, 0.0725759, 0.0735495, 0.0729167, 0.0737442, 0.0723326, 0.0735495, 0.0724299, 0.0737928, 0.0730627, 0.0730627, 0.0724786, 0.0732087, 0.0722839, 0.0732574, 0.0728193, 0.0737442, 0.0723812, 0.0718945, 0.0725759, 0.0740849, 0.0734521, 0.0735495, 0.0721865, 0.0734034, 0.072868, 0.0734521, 0.0736955, 0.0735495, 0.0721865, 0.072868, 0.0727706, 0.0727706, 0.0724786, 0.0736468, 0.072868, 0.0730627, 0.0721865, 0.0730627, 0.0726733, 0.0729653, 0.0721379, 0.0735008, 0.0716998, 0.0733548, 0.0727706, 0.0738902, 0.0723812, 0.0732574, 0.0722839, 0.0733061, 0.0725273, 0.0739875, 0.0722352, 0.0733061, 0.0723812, 0.0733061, 0.073014, 0.0729653, 0.0724786, 0.0731114, 0.073014, 0.0740362, 0.0729167, 0.0726733, 0.0721865, 0.07316, 0.0730627, 0.0729653, 0.0726246, 0.0734034, 0.073014, 0.0736468, 0.0714564, 0.0728193, 0.0723812, 0.0730627, 0.0729653, 0.0728193, 0.0721379, 0.0739875, 0.0735981, 0.0729167, 0.0715537, 0.0724786, 0.0732087, 0.0735981, 0.0722839, 
2, 0.588235, 0.100184, 0.0931066, 0.0883272, 0.0836857, 0.081296, 0.0796415, 0.0782629, 0.0770221, 0.0752298, 0.073943, 0.0737592, 0.0730239, 0.0733456, 0.0724265, 0.0726563, 0.0720588, 0.0723805, 0.0713695, 0.0715533, 0.0721507, 0.0725643, 0.0707261, 0.0713695, 0.0710478, 0.0709099, 0.0710478, 0.0705423, 0.0707721, 0.0697151, 0.0702206, 0.0707261, 0.0703125, 0.0693015, 0.0696691, 0.0707721, 0.0704963, 0.0695313, 0.0694393, 0.0707261, 0.0710937, 0.0713695, 0.0695772, 0.0709099, 0.0696691, 0.0688879, 0.0692096, 0.0698989, 0.069761, 0.0694393, 0.0693474, 0.069807, 0.0683824, 0.0694853, 0.0697151, 0.0694853, 0.0690717, 0.0688879, 0.0688419, 0.0697151, 0.0692096, 0.0690717, 0.0693934, 0.0691176, 0.0680607, 0.0685202, 0.0693934, 0.0686121, 0.0691636, 0.0695313, 0.0702206, 0.0690717, 0.0685662, 0.068796, 0.0679687, 0.0689338, 0.0692096, 0.0690257, 0.0686581, 0.0693015, 0.0691176, 0.0698989, 0.0688879, 0.068796, 0.0694853, 0.0683824, 0.0696691, 0.068796, 0.0691636, 0.0695772, 0.0692096, 0.0690257, 0.0688419, 0.0689798, 0.0691636, 0.06875, 0.0694393, 0.0682904, 0.0686581, 0.0692096, 0.0689798, 0.0699908, 0.0693474, 0.0692555, 0.0689338, 0.0686121, 0.06875, 0.0686581, 0.068704, 0.0680147, 0.0688419, 0.0688879, 0.0689338, 0.06875, 0.0681526, 0.0689798, 0.0686581, 0.0683824, 0.0680147, 0.0690717, 0.0683364, 0.0691636, 0.0681066, 0.0685662, 0.0682445, 0.0685662, 0.0689338, 0.0688879, 0.0682445, 0.0679687, 0.0688419, 0.0692555, 0.0684283, 0.0691636, 0.0683364, 0.0696232, 0.0678768, 0.0681985, 0.0681066, 0.0683364, 0.0681985, 0.0683364, 0.0681985, 0.0681985, 0.0681985, 0.0690257, 0.0689338, 0.068796, 0.0681066, 0.0681526, 0.0685662, 0.0684743, 0.068796, 0.0683824, 0.0682904, 0.0684283, 0.068704, 0.06875, 0.0679228, 0.068704, 0.0684283, 0.0684743, 0.0682904, 0.0681066, 0.0682904, 0.0689798, 0.0679687, 0.0682904, 0.0688879, 0.0692555, 0.0680147, 0.0678768, 0.0682904, 0.0685202, 0.0683824, 0.0681985, 0.068796, 0.068796, 0.0675551, 0.067693, 0.0680607, 0.0686581, 0.0677849, 0.0682445, 0.0682904, 0.068704, 0.0684743, 0.067739, 0.0680607, 0.0682445, 0.067693, 0.0684283, 0.0686581, 0.06875, 0.0680607, 0.0683364, 0.0680147, 0.0682445, 0.0682904, 0.0674173, 0.0683824, 
2.25, 0.472813, 0.0905363, 0.0796395, 0.0766475, 0.0683732, 0.0674867, 0.0628324, 0.0641992, 0.0605053, 0.0620567, 0.0575502, 0.0593602, 0.0572547, 0.0603576, 0.0566268, 0.058289, 0.0557033, 0.0577349, 0.0554817, 0.0566637, 0.054115, 0.0553709, 0.0536348, 0.0561835, 0.0555186, 0.055888, 0.0538933, 0.0550754, 0.0531546, 0.0552231, 0.054078, 0.0559619, 0.0523419, 0.0544474, 0.0531915, 0.0542996, 0.0530437, 0.0539303, 0.0527852, 0.0551862, 0.0531176, 0.0542258, 0.0524897, 0.0539303, 0.0527482, 0.0533023, 0.0520464, 0.0541888, 0.052305, 0.0538564, 0.0520464, 0.0538194, 0.0521203, 0.0536348, 0.0510491, 0.0542258, 0.0528221, 0.0531176, 0.0514184, 0.0531546, 0.0512337, 0.0528221, 0.0511599, 0.0530437, 0.0521203, 0.0524527, 0.0515293, 0.0538564, 0.0526005, 0.0532284, 0.0518986, 0.0547798, 0.0513446, 0.0522311, 0.0510491, 0.0527852, 0.0518617, 0.0525635, 0.0507905, 0.0526005, 0.0521572, 0.0530807, 0.0511599, 0.0531546, 0.0511599, 0.0511229, 0.0507535, 0.0528221, 0.0521572, 0.0540411, 0.0507166, 0.0520464, 0.0507166, 0.0524897, 0.0524527, 0.0530068, 0.0506797, 0.0527852, 0.0514184, 0.0535609, 0.0515293, 0.0531176, 0.0506058, 0.0531176, 0.0512337, 0.0533023, 0.0514554, 0.0530437, 0.050458, 0.052305, 0.0510121, 0.0536717, 0.051086, 0.0533762, 0.0509752, 0.0530068, 0.0511229, 0.0524897, 0.0511968, 0.0538194, 0.0506427, 0.0520095, 0.0511968, 0.0527113, 0.0510121, 0.0521203, 0.0505689, 0.0524527, 0.0510121, 0.0529329, 0.0507905, 0.0533392, 0.0504211, 0.0521203, 0.0511229, 0.0522311, 0.0513446, 0.0524527, 0.0502364, 0.0527113, 0.0505319, 0.0520464, 0.0502364, 0.0530437, 0.0507535, 0.0521572, 0.0509382, 0.0521941, 0.0504211, 0.0521941, 0.0507905, 0.0532654, 0.0512707, 0.0520833, 0.0511968, 0.0519356, 0.050458, 0.052268, 0.0515293, 0.0530437, 0.0512337, 0.0530807, 0.049904, 0.0529699, 0.0509382, 0.0515293, 0.049904, 0.0520095, 0.0501256, 0.0527113, 0.0509382, 0.0525635, 0.0511968, 0.0526743, 0.0500517, 0.0519725, 0.0512337, 0.0520833, 0.0508274, 0.052859, 0.0499778, 0.0517509, 0.0501995, 0.0518617, 0.051086, 0.0516401, 0.0498301, 0.0523419, 0.0507166, 0.0521203, 0.0506427, 0.0526743, 0.0499778, 0.0520464, 0.0506427, 0.0526005, 0.050458, 0.0515662, 0.0503103, 0.0533023, 0.0506058, 
2.5, 0.42735, 0.0864717, 0.0755876, 0.0723825, 0.0653045, 0.0625334, 0.0586939, 0.0590946, 0.0559896, 0.0561231, 0.0528512, 0.0555556, 0.0537193, 0.0547877, 0.0522837, 0.0538194, 0.0513488, 0.052918, 0.0505809, 0.0527511, 0.0497463, 0.0519498, 0.0496461, 0.0528512, 0.0497129, 0.0511151, 0.0506811, 0.0516159, 0.0502137, 0.0523838, 0.0486111, 0.0503138, 0.0502804, 0.0513488, 0.0484108, 0.0514156, 0.0489116, 0.0501135, 0.0490118, 0.0518162, 0.048344, 0.0497129, 0.0486445, 0.0504808, 0.0484108, 0.0494124, 0.0477097, 0.0495459, 0.0477764, 0.0506811, 0.0479434, 0.0493456, 0.048511, 0.0507479, 0.0484442, 0.04998, 0.0475427, 0.0506143, 0.0482439, 0.0504808, 0.0483774, 0.048511, 0.0471421, 0.0480435, 0.0474426, 0.0492788, 0.0481103, 0.0496461, 0.046875, 0.048344, 0.0477097, 0.0479434, 0.0461071, 0.0480101, 0.0478766, 0.048511, 0.0461405, 0.048344, 0.0469752, 0.0486779, 0.0467415, 0.0477764, 0.0465745, 0.047309, 0.0461405, 0.0474426, 0.0468082, 0.0485777, 0.0453392, 0.0481103, 0.0461405, 0.0476095, 0.0459736, 0.0476429, 0.0469418, 0.0479434, 0.0460069, 0.0469752, 0.0457732, 0.0470419, 0.0455395, 0.0467081, 0.0449052, 0.0478766, 0.0466413, 0.0474092, 0.04584, 0.04791, 0.0452724, 0.0472423, 0.0456397, 0.0470085, 0.0459736, 0.0463074, 0.0455729, 0.0478098, 0.0456397, 0.0469084, 0.0460403, 0.0471755, 0.0455395, 0.0476095, 0.0460403, 0.0478432, 0.0454728, 0.0467415, 0.0453392, 0.0475761, 0.0464076, 0.0482105, 0.0456397, 0.0469084, 0.0453726, 0.0478098, 0.0462407, 0.0474092, 0.0448384, 0.0472756, 0.0461739, 0.047309, 0.0456063, 0.0471087, 0.0460403, 0.0478098, 0.0466747, 0.0475427, 0.0457732, 0.0462407, 0.0456397, 0.0480769, 0.0458734, 0.047309, 0.0458734, 0.0465077, 0.04584, 0.0476095, 0.0458734, 0.0468416, 0.0460737, 0.0481103, 0.0462407, 0.047309, 0.0456063, 0.0473758, 0.0446047, 0.0466079, 0.0455395, 0.0467415, 0.0458734, 0.0476429, 0.0465077, 0.0475093, 0.0460737, 0.0470419, 0.0457065, 0.0470419, 0.0457065, 0.0466413, 0.0463742, 0.0473758, 0.0455061, 0.0466079, 0.0456063, 0.0482439, 0.0458066, 0.0480769, 0.0452057, 0.0474426, 0.0462407, 0.0471755, 0.0456063, 0.0470085, 0.044972, 0.0468416, 0.0452724, 0.0477764, 0.0455729, 0.0468082, 0.0453392, 0.0477097, 0.045239, 
