Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,180,171
2,322,174
3,399,177
4,150,178
5,718,185
6,558,187
7,327,199
8,181,205
9,372,208
10,421,209
11,114,216
12,510,217
13,206,229
14,337,230
15,505,231
16,225,232
17,257,233
18,542,243
19,238,247
20,696,251
21,805,253
22,622,259
23,301,261
24,507,262
25,100,263
26,752,268
27,734,274
28,688,275
29,234,277
30,518,278
31,20,288
32,368,291
33,279,293
34,153,296
35,166,302
36,371,304
37,88,309
38,525,314
39,415,316
40,595,319
41,598,324
42,559,329
43,32,333
44,58,335
45,285,336
46,466,340
47,571,348
48,357,354
49,695,355
50,615,356
51,797,359
52,463,362
53,286,369
54,102,370
55,535,374
56,662,375
57,367,384
58,84,385
59,239,386
60,148,387
61,250,394
62,389,395
63,464,398
