Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,221,934
2,501,938
3,357,940
4,966,961
5,926,962
6,81,964
7,740,965
8,289,969
9,437,974
10,558,975
11,953,1007
12,431,1008
13,999,1009
14,319,1019
15,703,1020
