Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,692,624
2,466,626
3,1014,628
4,205,640
5,115,642
6,119,644
7,81,657
8,356,658
9,392,665
10,324,670
11,743,671
12,585,674
13,758,675
14,951,679
15,991,680
16,184,681
17,143,682
18,656,683
19,105,684
20,472,685
21,478,688
22,876,696
23,426,698
24,345,701
25,634,702
26,722,706
27,463,707
28,307,708
29,151,711
30,537,712
31,241,714
32,65,715
33,734,716
34,226,718
35,385,735
36,651,739
37,317,742
38,719,744
39,347,745
40,647,749
41,668,750
42,384,751
43,45,752
44,293,756
45,371,760
46,247,764
47,188,771
48,836,774
49,376,775
50,909,776
51,342,779
52,759,782
53,349,785
54,811,787
55,737,789
56,330,790
57,201,791
58,784,792
59,969,794
60,289,796
61,632,804
62,383,805
63,852,806
