Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,846,672
2,740,683
3,538,695
4,842,708
5,518,711
6,559,717
7,231,718
8,596,719
9,164,738
10,79,742
11,693,755
12,617,767
13,238,804
14,415,838
15,639,855
