Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,742,360
2,786,361
3,296,362
4,713,363
5,688,364
6,187,365
7,146,366
8,539,367
9,982,368
10,389,369
11,622,370
12,246,371
13,783,372
14,277,373
15,547,374
16,733,375
