Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,338,609
2,593,611
3,48,612
4,930,613
5,789,615
6,729,619
7,808,624
8,336,627
9,581,629
10,532,631
11,474,637
12,249,639
13,228,640
14,391,645
15,211,656
16,797,658
17,1007,662
18,55,666
19,482,668
20,101,670
21,790,671
22,1010,675
23,85,677
24,956,678
25,45,679
26,654,682
27,768,683
28,479,684
29,902,687
30,918,688
31,587,691
32,142,692
33,204,695
34,176,696
35,66,704
36,118,710
37,580,711
38,957,712
39,314,726
40,359,736
41,1004,739
42,962,740
43,647,743
44,1009,753
45,746,757
46,298,759
47,630,760
48,226,765
49,267,766
50,650,772
51,468,779
52,358,781
53,560,782
54,731,784
55,537,793
56,495,794
57,538,795
58,446,796
59,97,799
60,702,802
61,1017,803
62,310,806
63,986,807
