Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,535,277
2,425,294
3,666,309
4,635,334
5,298,336
6,441,344
7,15,350
8,993,364
9,174,388
10,115,431
11,382,480
12,205,489
13,501,547
14,349,570
15,960,592
